year,month,000001.SZ,000002.SZ,000063.SZ,000157.SZ,000301.SZ,000333.SZ,000338.SZ,000425.SZ,000538.SZ,000568.SZ,000625.SZ,000630.SZ,000651.SZ,000661.SZ,000708.SZ,000768.SZ,000786.SZ,000800.SZ,000807.SZ,000858.SZ,000876.SZ,000895.SZ,000938.SZ,000963.SZ,000975.SZ,000977.SZ,000983.SZ,000999.SZ,001289.SZ,001965.SZ,001979.SZ,002001.SZ,002007.SZ,002027.SZ,002028.SZ,002049.SZ,002050.SZ,002074.SZ,002129.SZ,002142.SZ,002179.SZ,002180.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002271.SZ,002304.SZ,002311.SZ,002352.SZ,002371.SZ,002415.SZ,002422.SZ,002460.SZ,002463.SZ,002466.SZ,002475.SZ,002493.SZ,002555.SZ,002594.SZ,002601.SZ,002648.SZ,002709.SZ,002714.SZ,002812.SZ,002916.SZ,002920.SZ,002938.SZ,003816.SZ,300014.SZ,300015.SZ,300033.SZ,300122.SZ,300124.SZ,300274.SZ,300308.SZ,300316.SZ,300347.SZ,300394.SZ,300408.SZ,300413.SZ,300418.SZ,300433.SZ,300442.SZ,300450.SZ,300498.SZ,300502.SZ,300628.SZ,300661.SZ,300750.SZ,300759.SZ,300760.SZ,300782.SZ,300832.SZ,300896.SZ,300979.SZ,300999.SZ,301269.SZ,600000.SH,600009.SH,600010.SH,600011.SH,600015.SH,600016.SH,600018.SH,600019.SH,600023.SH,600025.SH,600026.SH,600027.SH,600028.SH,600029.SH,600031.SH,600036.SH,600039.SH,600048.SH,600050.SH,600066.SH,600085.SH,600089.SH,600104.SH,600111.SH,600160.SH,600161.SH,600176.SH,600183.SH,600188.SH,600196.SH,600219.SH,600233.SH,600276.SH,600309.SH,600332.SH,600362.SH,600377.SH,600406.SH,600415.SH,600426.SH,600436.SH,600438.SH,600460.SH,600482.SH,600489.SH,600519.SH,600547.SH,600570.SH,600584.SH,600585.SH,600588.SH,600600.SH,600660.SH,600674.SH,600690.SH,600741.SH,600795.SH,600803.SH,600809.SH,600875.SH,600900.SH,600905.SH,600919.SH,600926.SH,600938.SH,600941.SH,600989.SH,601006.SH,601009.SH,601012.SH,601021.SH,601058.SH,601088.SH,601100.SH,601111.SH,601117.SH,601127.SH,601138.SH,601166.SH,601169.SH,601186.SH,601225.SH,601229.SH,601238.SH,601288.SH,601328.SH,601360.SH,601390.SH,601398.SH,601600.SH,601607.SH,601618.SH,601633.SH,601658.SH,601668.SH,601669.SH,601689.SH,601698.SH,601699.SH,601728.SH,601766.SH,601799.SH,601800.SH,601808.SH,601816.SH,601818.SH,601838.SH,601857.SH,601865.SH,601868.SH,601872.SH,601877.SH,601888.SH,601898.SH,601899.SH,601916.SH,601939.SH,601985.SH,601988.SH,601989.SH,601998.SH,603019.SH,603195.SH,603259.SH,603260.SH,603288.SH,603296.SH,603369.SH,603392.SH,603501.SH,603659.SH,603799.SH,603806.SH,603833.SH,603986.SH,603993.SH,605117.SH,605499.SH,688008.SH,688009.SH,688012.SH,688036.SH,688041.SH,688082.SH,688111.SH,688126.SH,688169.SH,688187.SH,688223.SH,688256.SH,688271.SH,688303.SH,688396.SH,688472.SH,688506.SH,688599.SH,688981.SH
1999,11,-8.7581,14.1829,-12.9446,,,,,2.1521,-3.6838,-2.3762,-13.7014,-1.4249,-5.3616,-8.1835,-2.2388,-6.0493,-0.9193,-15.873,-5.2632,0.6721,8.172,7.0111,-7.2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8649,-12.9274,,,,,,,,,,,,,,,,,,2.0661,-5.8173,-4.6055,-18.8465,-3.393,-6.9656,-3.2796,-2.7778,2.8422,-8.9571,-3.6,,,,,,,,,,,,,,,,,,,,,,-0.5429,2.3399,-1.6713,-1.9255,-1.6949,9.0909,-6.9272,-10.6412,-2.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.9387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,12,-11.3763,-12.2412,5.668,,,,,7.3736,-7.9263,-8.7221,-6.1611,-4.5992,-2.9644,-7.7375,-9.542,9.7774,-13.8144,-10.566,-10.2102,2.9515,5.4341,-2.6897,17.2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.25,-7.4713,,,,,,,,,,,,,,,,,,-2.4291,-0.2042,1.9222,-3.9039,-10.3415,10.9744,3.3333,-11.7143,-4.7273,-4.717,-6.7427,0.2643,,,,,,,,,,,,,,,,,,,,,-10.8079,3.1288,-6.9405,3.2932,3.4483,-4.5045,-8.1553,-8.7023,10.0318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,6.0172,14.3437,13.9324,,,,,31.4585,17.7638,3.4444,-0.7576,7.1625,10.6585,17.1975,-0.8439,12.9616,9.8086,-0.6329,7.8595,13.6519,33.2495,10.9142,31.4438,-9.9903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1717,-0.6211,,,,,,,,,,,,,,,,,,16.9433,22.8133,12.7193,10.3125,24.8096,30.2218,7.3415,4.2071,47.9389,8.3451,19.4661,9.6661,,,,,,,,,,,,,,,,,,,,,1.4688,12.0187,4.7184,22.3789,21.25,34.717,20.9071,12.0401,-3.0391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2,-0.973,40.5687,1.4674,,,,,9.1045,9.9541,2.0408,6.8702,1.0283,1.8405,3.0797,4.4681,-13.4615,71.024,4.4586,7.7519,-1.6517,7.5943,7.2843,12.5876,-5.6034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5192,13.0208,,,,,,,,,,,,,,,,,,-9.521,12.8696,0.5837,-0.8499,-4.9695,-3.1228,13.4715,30.7453,3.096,-0.6527,29.3762,-0.0801,,,,,,,,,,,,,,,,,,,,,13.269,23.75,22.5291,14.0782,-3.4364,19.1877,2.6532,1.9403,7.1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3,0.2729,-14.4302,3.0732,,,,,21.1582,2.6462,13.7895,11.1905,11.9593,2.3494,7.4692,10.5906,6.2222,5.0955,7.9268,18.705,-7.9389,2.1043,5.6581,3.7587,4.2237,,,,-12.5882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1986,-7.7419,,,,,,,,,,,,,,,,,,5.8824,-11.6236,27.2727,5.4286,26.7733,-0.3663,-7.7626,7.0071,7.5075,31.406,-2.4321,14.3545,,,,,,,,,,,,,,,,,,,,,3.6209,53.367,5.5753,-1.2736,-0.7829,-3.5253,8.5561,9.5168,20.4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,4,3.7561,-1.6548,1.7246,,,,,26.7971,6.5129,-3.6078,4.4968,3.75,2.2955,3.4342,-2.3941,-1.6736,-6.9091,5.0847,-4.6061,3.5158,-8.3298,2.593,7.2796,-4.2169,,,,-4.7555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8723,2.6973,,,,,,,,,,,,,,,,,,4.6914,-4.0501,-0.5838,11.3821,3.4755,-3.0882,-1.9802,-2.8857,-4.8877,-0.8,-1.2389,-1.122,,,,,,,,,,,,,,,,,,,,,-6.2693,-8.3974,10.6742,0,12.6255,22.4117,-1.0673,-0.8021,-4.2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.5833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,5,-5.5614,-4.7276,-3.7356,,-7.0508,,,6.8229,-5.414,-2.5912,9.2213,-0.2191,-6.1565,14.7036,10.9434,-5.6738,-2.3437,8.0645,8.528,-3.1721,3.4192,17.0879,-4.2629,9.777,,,,8.2902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.2,-1.2646,,,,,,,,,,,,,,,,,,-3.7146,6.4404,-3.1311,2.5953,-1.374,-3.7936,6.0606,1.7143,-0.5158,-1.4113,2.5986,2.1277,,,,,,,,,,,,,,,,,,,,,0,3.8346,15.533,-3.0249,-3.5987,16.4179,3.5685,-1.6173,1.2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6,0.7222,13.6249,6.2806,,0.2447,,,-1.0556,-2.3886,12.9394,19.137,10.9169,10.0529,-2.8946,-1.0204,-3.3835,-5.3472,1.4925,7.0406,8.1072,-3.9093,-5.3919,-4.601,0.625,1.7833,-9.7717,,-3.3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4264,2.3645,,,,,,,,,,,,,,,,,,11.5738,-3.3898,0.5216,6.6403,3.7926,3.7066,6.1059,4.2697,42.2222,4.1914,2.2707,4.3056,-3.2468,,,,,,,,,,,,,,,,,,,,4.2763,12.06,-8.348,5.4924,0.5946,3.4188,8.1731,3.1507,-1.5513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7,2.096,2.7387,11.156,,-0.5696,,,4.7165,5.2228,4.0946,25.9843,9.7068,-4.7918,12.4911,16.1512,1.4008,8.156,18.784,13.3779,2.5712,1.0442,-3.4172,5.2562,2.0871,-2.0216,12.393,-4.0541,-2.7903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7871,5.871,,,,,,,,,,,,,,,,,,-5.5434,4.5668,-0.8962,1.4085,3.5794,4.7148,-0.1808,22.0905,31.0417,6.9307,3.5006,1.9973,-1.3423,,,,,,,,,,,,,,,,,,,,14.8265,-6.2822,20.9012,-0.5789,4.7291,-2.8512,-2.2963,10.2258,4.4848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,8,-4.1059,-4.9297,2.9109,,0.491,,,-2.3056,4.368,-5.0699,-8,-5.9908,-3.2035,-12.8707,4.8817,-1.7652,0.4459,-9.3445,1.2783,-0.1492,1.5805,8.0107,-5.5307,-6.4697,-1.9257,-5.5298,7.1362,1.1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3264,-6.6364,,,,,,,,,,,,,,,,,,-0.6973,-6.8571,-0.2128,-4.0102,-4.2477,-4.2847,-7.3789,7.2387,-2.7424,-7.2222,-1.7021,-6.8538,7.483,,,,,,,,,,,,,,,,,,,,-2.1157,-1.6484,5.4718,1.7999,0.4834,-0.1489,6.141,2.1687,20.0696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.5431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
