stkcd,year,ind
000002,2008,K
000002,2009,K
000002,2010,K
000002,2011,K
000002,2012,K
000002,2013,K
000002,2014,K
000002,2015,K
000002,2016,K
000002,2017,K
000002,2018,K
000002,2019,K
000002,2020,K
000002,2021,K
000002,2022,K
000002,2023,K
000004,2011,C27
000004,2012,C27
000004,2013,C27
000004,2014,C27
000004,2015,C27
000004,2016,C27
000004,2017,C27
000004,2018,C27
000004,2019,C27
000004,2020,I
000004,2021,I
000004,2023,I
000005,2008,S
000005,2009,S
000005,2010,S
000005,2011,S
000005,2012,K
000005,2013,K
000005,2014,K
000005,2015,K
000005,2016,N
000005,2017,N
000005,2018,N
000005,2019,N
000005,2020,N
000006,2008,K
000006,2009,K
000006,2010,K
000006,2011,K
000006,2012,K
000006,2013,K
000006,2014,K
000006,2015,K
000006,2016,K
000006,2017,K
000006,2018,K
000006,2019,K
000006,2020,K
000006,2021,K
000006,2022,K
000006,2023,K
000007,2012,H
000007,2013,H
000007,2014,H
000007,2015,H
000007,2016,H
000007,2017,K
000007,2018,K
000007,2019,K
000007,2020,K
000007,2022,K
000008,2013,H
000008,2014,H
000008,2015,C37
000008,2016,C37
000008,2017,C37
000008,2018,C37
000008,2019,C37
000008,2020,C37
000008,2021,C37
000008,2022,C37
000008,2023,C37
000009,2008,S
000009,2009,S
000009,2010,S
000009,2011,S
000009,2012,S
000009,2013,S
000009,2014,S
000009,2015,S
000009,2016,S
000009,2017,S
000009,2018,S
000009,2019,S
000009,2020,S
000009,2021,S
000009,2022,S
000009,2023,S
000010,2013,C35
000010,2014,C35
000010,2015,E
000010,2016,E
000010,2017,E
000010,2018,E
000010,2020,E
000010,2021,E
000010,2022,E
000010,2023,E
000011,2009,S
000011,2010,K
000011,2011,K
000011,2012,K
000011,2013,K
000011,2014,K
000011,2015,K
000011,2016,K
000011,2017,K
000011,2018,K
000011,2019,K
000011,2020,K
000011,2021,K
000011,2022,K
000011,2023,K
000012,2008,C30
000012,2009,C30
000012,2010,C30
000012,2011,C30
000012,2012,C30
000012,2013,C30
000012,2014,C30
000012,2015,C30
000012,2016,C30
000012,2017,C30
000012,2018,C30
000012,2019,C30
000012,2020,C30
000012,2021,C30
000012,2022,C30
000012,2023,C30
000014,2008,K
000014,2009,K
000014,2010,K
000014,2011,K
000014,2012,K
000014,2013,K
000014,2014,K
000014,2015,K
000014,2016,K
000014,2017,K
000014,2018,K
000014,2019,K
000014,2020,K
000014,2021,K
000014,2022,K
000014,2023,K
000016,2008,C39
000016,2009,C39
000016,2010,C39
000016,2011,C39
000016,2012,C39
000016,2013,C39
000016,2014,C39
000016,2015,C39
000016,2016,C39
000016,2017,C39
000016,2018,C39
000016,2019,C39
000016,2020,C39
000016,2021,C39
000016,2022,C39
000016,2023,C39
000017,2014,C37
000017,2015,C37
000017,2016,C37
000017,2017,C37
000017,2018,C37
000017,2019,C37
000017,2021,C37
000017,2022,C37
000017,2023,C37
000018,2014,C17
000018,2015,C17
000018,2016,E
000018,2017,E
000018,2018,E
000019,2008,C15
000019,2009,C15
000019,2010,C15
000019,2011,C15
000019,2012,C15
000019,2013,C15
000019,2014,C15
000019,2015,C15
000019,2016,C15
000019,2017,C15
000019,2018,C15
000019,2019,F
000019,2020,F
000019,2021,F
000019,2022,F
000019,2023,F
000020,2009,C39
000020,2010,C39
000020,2011,C39
000020,2012,C39
000020,2013,C39
000020,2014,C39
000020,2015,C39
000020,2016,C39
000020,2017,C39
000020,2018,C39
000020,2019,C39
000020,2020,C39
000020,2021,C39
000020,2022,C39
000020,2023,C39
000021,2008,C39
000021,2009,C39
000021,2010,C39
000021,2011,C39
000021,2012,C39
000021,2013,C39
000021,2014,C39
000021,2015,C39
000021,2016,C39
000021,2017,C39
000021,2018,C39
000021,2019,C39
000021,2020,C39
000021,2021,C39
000021,2022,C39
000021,2023,C39
000022,2008,G
000022,2009,G
000022,2010,G
000022,2011,G
000022,2012,G
000022,2013,G
000022,2014,G
000022,2015,G
000022,2016,G
000022,2017,G
000023,2008,E
000023,2009,E
000023,2010,E
000023,2011,E
000023,2012,C30
000023,2013,C30
000023,2014,C30
000023,2015,C30
000023,2016,C30
000023,2017,C30
000023,2018,C30
000023,2019,C30
000023,2020,C30
000023,2021,C30
000023,2022,C30
000024,2008,K
000024,2009,K
000024,2010,K
000024,2011,K
000024,2012,K
000024,2013,K
000024,2014,K
000025,2008,S
000025,2009,S
000025,2010,F
000025,2011,F
000025,2012,F
000025,2013,F
000025,2014,F
000025,2015,F
000025,2016,F
000025,2017,F
000025,2018,F
000025,2019,F
000025,2020,F
000025,2021,F
000025,2022,F
000025,2023,F
000026,2008,C35
000026,2009,C35
000026,2010,F
000026,2011,F
000026,2012,F
000026,2013,F
000026,2014,F
000026,2015,F
000026,2016,F
000026,2017,F
000026,2018,F
000026,2019,F
000026,2020,F
000026,2021,F
000026,2022,F
000026,2023,F
000027,2008,D
000027,2009,D
000027,2010,D
000027,2011,D
000027,2012,D
000027,2013,D
000027,2014,D
000027,2015,D
000027,2016,D
000027,2017,D
000027,2018,D
000027,2019,D
000027,2020,D
000027,2021,D
000027,2022,D
000027,2023,D
000028,2008,C27
000028,2009,C27
000028,2010,F
000028,2011,F
000028,2012,F
000028,2013,F
000028,2014,F
000028,2015,F
000028,2016,F
000028,2017,F
000028,2018,F
000028,2019,F
000028,2020,F
000028,2021,F
000028,2022,F
000028,2023,F
000029,2008,K
000029,2009,K
000029,2010,K
000029,2011,K
000029,2012,K
000029,2013,K
000029,2014,K
000029,2015,K
000029,2016,K
000029,2017,K
000029,2018,K
000029,2019,K
000029,2020,K
000029,2021,K
000029,2022,K
000029,2023,K
000030,2013,C41
000030,2014,C36
000030,2015,C36
000030,2016,C36
000030,2017,C36
000030,2018,C36
000030,2019,C36
000030,2020,C36
000030,2021,C36
000030,2022,C36
000030,2023,C36
000031,2008,K
000031,2009,K
000031,2010,K
000031,2011,K
000031,2012,K
000031,2013,K
000031,2014,K
000031,2015,K
000031,2016,K
000031,2017,K
000031,2018,K
000031,2019,K
000031,2020,K
000031,2021,K
000031,2022,K
000031,2023,K
000032,2008,C39
000032,2009,C39
000032,2010,C39
000032,2011,C39
000032,2012,C39
000032,2013,C39
000032,2014,C39
000032,2015,F
000032,2016,F
000032,2017,F
000032,2018,F
000032,2019,F
000032,2020,F
000032,2021,E
000032,2022,E
000032,2023,E
000033,2008,H
000033,2009,H
000033,2010,H
000033,2011,H
000033,2012,H
000033,2013,H
000034,2011,S
000034,2012,S
000034,2013,S
000034,2014,S
000034,2015,S
000034,2016,F
000034,2017,F
000034,2018,F
000034,2019,F
000034,2020,F
000034,2021,F
000034,2022,F
000034,2023,F
000035,2014,N
000035,2015,N
000035,2016,N
000035,2017,N
000035,2018,N
000035,2019,N
000035,2020,N
000035,2021,N
000035,2022,N
000035,2023,N
000036,2008,C17
000036,2010,K
000036,2011,K
000036,2012,K
000036,2013,K
000036,2014,K
000036,2015,K
000036,2016,K
000036,2017,K
000036,2018,K
000036,2019,K
000036,2020,K
000036,2021,K
000036,2022,K
000036,2023,K
000037,2008,D
000037,2009,D
000037,2010,D
000037,2011,D
000037,2012,D
000037,2013,D
000037,2014,D
000037,2015,D
000037,2017,D
000037,2018,D
000037,2019,D
000037,2020,D
000037,2021,D
000037,2022,D
000037,2023,D
000038,2013,K
000038,2014,K
000038,2015,K
000038,2016,L
000038,2017,L
000038,2018,L
000038,2019,L
000038,2020,L
000038,2021,L
000039,2008,C33
000039,2009,C33
000039,2010,C33
000039,2011,C33
000039,2012,C33
000039,2013,C33
000039,2014,C33
000039,2015,C33
000039,2016,C33
000039,2017,C33
000039,2018,C33
000039,2019,C33
000039,2020,C33
000039,2021,C33
000039,2022,C33
000039,2023,C33
000040,2008,S
000040,2009,S
000040,2010,K
000040,2011,K
000040,2012,K
000040,2013,K
000040,2014,K
000040,2015,K
000040,2016,K
000040,2017,E
000040,2018,D
000040,2019,D
000040,2020,D
000040,2021,D
000040,2022,D
000040,2023,D
000042,2008,K
000042,2009,K
000042,2010,K
000042,2011,K
000042,2012,K
000042,2013,K
000042,2014,K
000042,2015,K
000042,2016,K
000042,2017,K
000042,2018,K
000042,2019,K
000042,2020,K
000042,2021,K
000042,2022,K
000042,2023,K
000043,2008,S
000043,2009,S
000043,2010,K
000043,2011,K
000043,2012,K
000043,2013,K
000043,2014,K
000043,2015,K
000043,2016,K
000043,2017,K
000043,2018,K
000045,2008,C17
000045,2009,C17
000045,2010,C17
000045,2011,S
000045,2012,F
000045,2013,F
000045,2014,F
000045,2015,C39
000045,2016,C39
000045,2017,C39
000045,2018,C39
000045,2019,C39
000045,2020,C39
000045,2021,C39
000045,2022,C39
000045,2023,C39
000046,2008,K
000046,2009,K
000046,2010,K
000046,2011,K
000046,2012,K
000046,2013,K
000046,2014,K
000046,2015,K
000046,2016,K
000046,2017,K
000046,2018,K
000046,2019,K
000048,2012,C13
000048,2013,C13
000048,2014,C13
000048,2015,C13
000048,2016,C13
000048,2017,C13
000048,2019,C13
000048,2020,C13
000048,2021,C13
000048,2022,C13
000048,2023,C13
000049,2008,C38
000049,2009,C38
000049,2010,C38
000049,2011,C38
000049,2012,C38
000049,2013,C38
000049,2014,C38
000049,2015,C38
000049,2016,C38
000049,2017,C38
000049,2018,C38
000049,2019,C38
000049,2020,C38
000049,2021,C38
000049,2022,C38
000049,2023,C38
000050,2008,C39
000050,2009,C39
000050,2010,C39
000050,2011,C39
000050,2012,C39
000050,2013,C39
000050,2014,C39
000050,2015,C39
000050,2016,C39
000050,2017,C39
000050,2018,C39
000050,2019,C39
000050,2020,C39
000050,2021,C39
000050,2022,C39
000050,2023,C39
000055,2008,C33
000055,2009,C33
000055,2010,C33
000055,2011,C33
000055,2012,C33
000055,2013,C33
000055,2014,C33
000055,2015,C33
000055,2016,C33
000055,2017,C33
000055,2018,C33
000055,2019,C33
000055,2020,C33
000055,2021,C33
000055,2022,C33
000055,2023,C33
000056,2008,F
000056,2009,F
000056,2014,K
000056,2015,K
000056,2016,K
000056,2017,K
000056,2018,K
000056,2019,L
000056,2020,L
000056,2021,L
000056,2022,L
000056,2023,L
000058,2009,L
000058,2010,L
000058,2011,L
000058,2012,L
000058,2013,L
000058,2014,L
000058,2015,L
000058,2016,L
000058,2017,L
000058,2018,L
000058,2019,L
000058,2020,L
000058,2021,L
000058,2022,L
000058,2023,L
000059,2008,C25
000059,2009,C25
000059,2010,C25
000059,2011,C25
000059,2012,C25
000059,2013,C25
000059,2014,C25
000059,2016,C25
000059,2017,C25
000059,2018,C25
000059,2019,C25
000059,2020,C25
000059,2021,C25
000059,2022,C25
000059,2023,C25
000060,2008,C32
000060,2009,C32
000060,2010,C32
000060,2011,C32
000060,2012,C32
000060,2013,C32
000060,2014,C32
000060,2015,C32
000060,2016,C32
000060,2017,C32
000060,2018,C32
000060,2019,C32
000060,2020,C32
000060,2021,C32
000060,2022,C32
000060,2023,C32
000061,2008,F
000061,2009,F
000061,2010,F
000061,2011,F
000061,2012,L
000061,2013,L
000061,2014,L
000061,2015,L
000061,2016,L
000061,2017,L
000061,2018,L
000061,2019,L
000061,2020,L
000061,2021,L
000061,2022,L
000061,2023,L
000062,2008,L
000062,2009,L
000062,2010,L
000062,2011,L
000062,2012,L
000062,2013,L
000062,2014,L
000062,2015,L
000062,2016,L
000062,2017,F
000062,2018,F
000062,2019,F
000062,2020,F
000062,2021,F
000062,2022,F
000062,2023,F
000063,2008,C39
000063,2009,C39
000063,2010,C39
000063,2011,C39
000063,2012,C39
000063,2013,C39
000063,2014,C39
000063,2015,C39
000063,2016,C39
000063,2017,C39
000063,2018,C39
000063,2019,C39
000063,2020,C39
000063,2021,C39
000063,2022,C39
000063,2023,C39
000065,2008,E
000065,2009,E
000065,2010,E
000065,2011,E
000065,2012,E
000065,2013,E
000065,2014,E
000065,2015,E
000065,2016,E
000065,2017,E
000065,2018,E
000065,2019,E
000065,2020,E
000065,2021,E
000065,2022,E
000065,2023,E
000066,2008,C39
000066,2009,C39
000066,2010,C39
000066,2011,C39
000066,2012,C39
000066,2013,C39
000066,2014,C39
000066,2015,C39
000066,2016,C39
000066,2017,C39
000066,2018,C39
000066,2019,C39
000066,2020,C39
000066,2021,C39
000066,2022,C39
000066,2023,C39
000068,2008,C39
000068,2009,C39
000068,2013,C39
000068,2014,C39
000068,2016,C39
000068,2017,C39
000068,2018,C39
000068,2019,C39
000068,2020,M
000068,2021,M
000068,2022,M
000068,2023,M
000069,2008,L
000069,2009,L
000069,2010,L
000069,2011,L
000069,2012,N
000069,2013,N
000069,2014,N
000069,2015,N
000069,2016,N
000069,2017,N
000069,2018,K
000069,2019,K
000069,2020,K
000069,2021,K
000069,2022,K
000069,2023,K
000070,2008,C39
000070,2009,C39
000070,2010,C39
000070,2011,C39
000070,2012,C38
000070,2013,C38
000070,2014,C38
000070,2015,C38
000070,2016,C38
000070,2017,C38
000070,2018,C38
000070,2019,C38
000070,2020,C38
000070,2021,C38
000070,2022,C38
000070,2023,C38
000078,2008,C27
000078,2009,C27
000078,2010,C27
000078,2011,C27
000078,2012,F
000078,2013,F
000078,2014,F
000078,2015,F
000078,2016,F
000078,2017,F
000078,2018,F
000078,2019,F
000078,2020,F
000078,2021,F
000078,2022,F
000078,2023,F
000088,2008,G
000088,2009,G
000088,2010,G
000088,2011,G
000088,2012,G
000088,2013,G
000088,2014,G
000088,2015,G
000088,2016,G
000088,2017,G
000088,2018,G
000088,2019,G
000088,2020,G
000088,2021,G
000088,2022,G
000088,2023,G
000089,2008,G
000089,2009,G
000089,2010,G
000089,2011,G
000089,2012,G
000089,2013,G
000089,2014,G
000089,2015,G
000089,2016,G
000089,2017,G
000089,2018,G
000089,2019,G
000089,2020,G
000089,2021,G
000089,2022,G
000089,2023,G
000090,2008,E
000090,2009,E
000090,2010,E
000090,2011,E
000090,2012,E
000090,2013,E
000090,2014,E
000090,2015,E
000090,2016,E
000090,2017,E
000090,2018,E
000090,2019,E
000090,2020,E
000090,2021,E
000090,2022,E
000090,2023,E
000096,2008,F
000096,2009,F
000096,2010,F
000096,2011,F
000096,2012,F
000096,2013,F
000096,2014,F
000096,2015,F
000096,2016,F
000096,2017,F
000096,2018,F
000096,2019,F
000096,2020,F
000096,2021,F
000096,2022,F
000096,2023,F
000099,2008,G
000099,2009,G
000099,2010,G
000099,2011,G
000099,2012,G
000099,2013,G
000099,2014,G
000099,2015,G
000099,2016,G
000099,2017,G
000099,2018,G
000099,2019,G
000099,2020,G
000099,2021,G
000099,2022,G
000099,2023,G
000100,2008,C39
000100,2009,C39
000100,2010,C39
000100,2011,C39
000100,2012,C39
000100,2013,C39
000100,2014,C39
000100,2015,C39
000100,2016,C39
000100,2017,C39
000100,2018,C39
000100,2019,C39
000100,2020,C39
000100,2021,C39
000100,2022,C39
000100,2023,C39
000150,2008,K
000150,2009,K
000150,2010,K
000150,2011,K
000150,2012,K
000150,2013,K
000150,2014,K
000150,2015,K
000150,2016,Q
000150,2017,Q
000150,2018,Q
000150,2019,Q
000150,2020,Q
000151,2008,O
000151,2009,O
000151,2010,F
000151,2011,F
000151,2012,F
000151,2013,F
000151,2014,F
000151,2015,F
000151,2016,F
000151,2017,F
000151,2018,F
000151,2019,F
000151,2020,F
000151,2021,F
000151,2022,F
000151,2023,F
000153,2008,C27
000153,2009,C27
000153,2010,C27
000153,2011,C27
000153,2012,C27
000153,2013,C27
000153,2014,C27
000153,2015,C27
000153,2016,C27
000153,2017,C27
000153,2018,C27
000153,2019,C27
000153,2020,C27
000153,2021,C27
000153,2022,C27
000153,2023,C27
000155,2008,C26
000155,2009,C26
000155,2010,C26
000155,2011,C26
000155,2013,C26
000155,2017,C26
000155,2018,C26
000155,2019,C26
000155,2020,D
000155,2021,D
000155,2022,D
000155,2023,D
000156,2012,R
000156,2013,R
000156,2014,R
000156,2015,R
000156,2016,R
000156,2017,R
000156,2018,R
000156,2019,R
000156,2020,R
000156,2021,R
000156,2022,R
000156,2023,R
000157,2008,C35
000157,2009,C35
000157,2010,C35
000157,2011,C35
000157,2012,C35
000157,2013,C35
000157,2014,C35
000157,2015,C35
000157,2016,C35
000157,2017,C35
000157,2018,C35
000157,2019,C35
000157,2020,C35
000157,2021,C35
000157,2022,C35
000157,2023,C35
000158,2008,C17
000158,2009,C17
000158,2010,C17
000158,2011,C17
000158,2012,C17
000158,2013,C17
000158,2014,C17
000158,2015,C17
000158,2016,C17
000158,2017,C17
000158,2018,C17
000158,2019,I
000158,2020,I
000158,2021,I
000158,2022,I
000158,2023,I
000159,2008,C25
000159,2009,C25
000159,2010,C25
000159,2011,C25
000159,2012,F
000159,2013,F
000159,2014,F
000159,2015,F
000159,2016,F
000159,2017,F
000159,2018,F
000159,2019,F
000159,2020,F
000159,2021,F
000159,2022,F
000159,2023,F
000301,2008,C17
000301,2009,C17
000301,2010,S
000301,2011,S
000301,2012,D
000301,2013,D
000301,2014,D
000301,2015,D
000301,2016,D
000301,2017,D
000301,2018,C28
000301,2019,C28
000301,2020,C28
000301,2021,C28
000301,2022,C28
000301,2023,C28
000333,2013,C38
000333,2014,C38
000333,2015,C38
000333,2016,C38
000333,2017,C38
000333,2018,C38
000333,2019,C38
000333,2020,C38
000333,2021,C38
000333,2022,C38
000333,2023,C38
000338,2008,C36
000338,2009,C36
000338,2010,C36
000338,2011,C36
000338,2012,C36
000338,2013,C36
000338,2014,C36
000338,2015,C36
000338,2016,C36
000338,2017,C36
000338,2018,C36
000338,2019,C36
000338,2020,C36
000338,2021,C36
000338,2022,C36
000338,2023,C36
000400,2008,C38
000400,2009,C38
000400,2010,C38
000400,2011,C38
000400,2012,C38
000400,2013,C38
000400,2014,C38
000400,2015,C38
000400,2016,C38
000400,2017,C38
000400,2018,C38
000400,2019,C38
000400,2020,C38
000400,2021,C38
000400,2022,C38
000400,2023,C38
000401,2008,C30
000401,2009,C30
000401,2010,C30
000401,2011,C30
000401,2012,C30
000401,2013,C30
000401,2014,C30
000401,2015,C30
000401,2016,C30
000401,2017,C30
000401,2018,C30
000401,2019,C30
000401,2020,C30
000401,2021,C30
000401,2022,C30
000401,2023,C30
000402,2008,K
000402,2009,K
000402,2010,K
000402,2011,K
000402,2012,K
000402,2013,K
000402,2014,K
000402,2015,K
000402,2016,K
000402,2017,K
000402,2018,K
000402,2019,K
000402,2020,K
000402,2021,K
000402,2022,K
000402,2023,K
000403,2018,C27
000403,2019,C27
000403,2020,C27
000403,2021,C27
000403,2022,C27
000403,2023,C27
000404,2008,C34
000404,2009,C34
000404,2010,C34
000404,2011,C34
000404,2012,C34
000404,2013,C34
000404,2014,C34
000404,2015,C34
000404,2016,C34
000404,2017,C34
000404,2018,C34
000404,2019,C34
000404,2020,C34
000404,2021,C34
000404,2022,C34
000404,2023,C34
000407,2008,C29
000407,2009,C29
000407,2010,C29
000407,2011,C29
000407,2012,C26
000407,2013,C26
000407,2014,C26
000407,2015,C26
000407,2016,D
000407,2017,D
000407,2018,D
000407,2019,D
000407,2020,D
000407,2021,D
000407,2022,D
000407,2023,D
000408,2012,F
000408,2013,F
000408,2014,F
000408,2015,F
000408,2017,C26
000408,2018,C26
000408,2019,C26
000408,2021,C26
000408,2022,C26
000408,2023,C26
000409,2013,B
000409,2014,B
000409,2015,B
000409,2016,S
000409,2017,S
000409,2021,I
000409,2022,I
000409,2023,I
000410,2008,C34
000410,2009,C34
000410,2010,C34
000410,2011,C34
000410,2012,C34
000410,2013,C34
000410,2014,C34
000410,2015,C34
000410,2016,C34
000410,2018,C34
000410,2023,C34
000411,2008,F
000411,2009,F
000411,2010,F
000411,2011,F
000411,2012,F
000411,2013,F
000411,2014,F
000411,2015,F
000411,2016,F
000411,2017,F
000411,2018,F
000411,2019,F
000411,2020,F
000411,2021,F
000411,2022,F
000411,2023,F
000413,2008,C39
000413,2009,C39
000413,2010,C39
000413,2011,C39
000413,2012,C39
000413,2013,C39
000413,2014,C39
000413,2015,C39
000413,2016,C39
000413,2017,C39
000413,2018,C39
000413,2019,C39
000413,2020,C39
000413,2021,C39
000413,2022,C39
000413,2023,C39
000415,2008,E
000415,2009,E
000415,2011,L
000415,2012,L
000415,2013,L
000415,2014,L
000415,2015,L
000415,2016,L
000415,2017,L
000415,2018,L
000415,2019,L
000415,2020,L
000415,2021,L
000415,2022,L
000415,2023,L
000416,2008,C14
000416,2009,C14
000416,2010,F
000416,2011,F
000416,2012,F
000416,2013,F
000416,2014,F
000417,2008,F
000417,2009,F
000417,2010,F
000417,2011,F
000417,2012,F
000417,2013,F
000417,2014,F
000417,2015,F
000417,2016,F
000417,2017,F
000417,2018,F
000417,2019,F
000417,2020,F
000417,2021,F
000417,2022,F
000417,2023,F
000418,2009,C38
000418,2010,C38
000418,2011,C38
000418,2012,C38
000418,2013,C38
000418,2014,C38
000418,2015,C38
000418,2016,C38
000418,2017,C38
000418,2018,C38
000419,2008,F
000419,2009,F
000419,2010,F
000419,2011,F
000419,2012,F
000419,2013,F
000419,2014,F
000419,2015,F
000419,2016,F
000419,2017,F
000419,2018,F
000419,2019,F
000419,2020,F
000419,2021,F
000419,2022,F
000419,2023,F
000420,2008,C28
000420,2009,C28
000420,2010,C28
000420,2011,C28
000420,2013,C28
000420,2014,C28
000420,2015,C28
000420,2016,C28
000420,2017,C28
000420,2018,C28
000420,2019,C28
000420,2020,C28
000420,2021,C28
000420,2022,C28
000420,2023,C28
000421,2008,O
000421,2009,O
000421,2010,O
000421,2011,O
000421,2012,S
000421,2013,S
000421,2014,S
000421,2015,D
000421,2016,D
000421,2017,D
000421,2018,D
000421,2019,D
000421,2020,D
000421,2021,D
000421,2022,D
000421,2023,D
000422,2008,C26
000422,2009,C26
000422,2010,C26
000422,2011,C26
000422,2012,C26
000422,2013,C26
000422,2014,C26
000422,2015,C26
000422,2016,C26
000422,2017,C26
000422,2021,C26
000422,2022,C26
000422,2023,C26
000423,2008,C27
000423,2009,C27
000423,2010,C27
000423,2011,C27
000423,2012,C27
000423,2013,C27
000423,2014,C27
000423,2015,C27
000423,2016,C27
000423,2017,C27
000423,2018,C27
000423,2019,C27
000423,2020,C27
000423,2021,C27
000423,2022,C27
000423,2023,C27
000425,2008,C35
000425,2009,C35
000425,2010,C35
000425,2011,C35
000425,2012,C35
000425,2013,C35
000425,2014,C35
000425,2015,C35
000425,2016,C35
000425,2017,C35
000425,2018,C35
000425,2019,C35
000425,2020,C35
000425,2021,C35
000425,2022,C35
000425,2023,C35
000426,2008,D
000426,2009,D
000426,2010,D
000426,2011,B
000426,2012,B
000426,2013,B
000426,2014,B
000426,2015,B
000426,2016,B
000426,2017,B
000426,2018,B
000426,2019,B
000426,2020,B
000426,2021,B
000426,2022,B
000426,2023,B
000428,2008,H
000428,2009,H
000428,2010,H
000428,2011,H
000428,2012,H
000428,2013,H
000428,2014,H
000428,2015,H
000428,2016,H
000428,2017,H
000428,2018,H
000428,2019,H
000428,2020,H
000428,2021,H
000428,2022,H
000428,2023,H
000429,2008,G
000429,2009,G
000429,2010,G
000429,2011,G
000429,2012,G
000429,2013,G
000429,2014,G
000429,2015,G
000429,2016,G
000429,2017,G
000429,2018,G
000429,2019,G
000429,2020,G
000429,2021,G
000429,2022,G
000429,2023,G
000430,2012,N
000430,2013,N
000430,2014,N
000430,2015,N
000430,2016,N
000430,2017,N
000430,2018,N
000430,2019,N
000430,2020,N
000430,2021,N
000430,2022,N
000430,2023,N
000488,2008,C22
000488,2009,C22
000488,2010,C22
000488,2011,C22
000488,2012,C22
000488,2013,C22
000488,2014,C22
000488,2015,C22
000488,2016,C22
000488,2017,C22
000488,2018,C22
000488,2019,C22
000488,2020,C22
000488,2021,C22
000488,2022,C22
000488,2023,C22
000498,2013,E
000498,2014,E
000498,2015,E
000498,2016,E
000498,2017,E
000498,2018,E
000498,2019,E
000498,2020,E
000498,2021,E
000498,2022,E
000498,2023,E
000501,2008,F
000501,2009,F
000501,2010,F
000501,2011,F
000501,2012,F
000501,2013,F
000501,2014,F
000501,2015,F
000501,2016,F
000501,2017,F
000501,2018,F
000501,2019,F
000501,2020,F
000501,2021,F
000501,2022,F
000501,2023,F
000502,2008,K
000502,2009,K
000502,2010,K
000502,2011,K
000502,2012,K
000502,2013,K
000502,2014,K
000502,2015,K
000502,2016,K
000502,2017,K
000502,2018,K
000502,2019,K
000502,2020,K
000503,2008,S
000503,2009,S
000503,2010,S
000503,2011,S
000503,2012,I
000503,2013,I
000503,2014,I
000503,2015,I
000503,2016,I
000503,2017,I
000503,2018,I
000503,2019,I
000503,2020,I
000503,2021,I
000503,2022,I
000503,2023,I
000504,2008,R
000504,2009,R
000504,2017,R
000504,2018,M
000504,2021,M
000504,2022,M
000504,2023,M
000505,2008,K
000505,2014,K
000505,2017,K
000505,2018,C13
000505,2019,C13
000505,2020,C13
000505,2021,C13
000505,2022,C13
000505,2023,C13
000506,2010,K
000506,2011,K
000506,2012,K
000506,2013,K
000506,2014,K
000506,2015,B
000506,2016,B
000506,2017,B
000506,2018,B
000506,2019,B
000506,2020,B
000506,2021,B
000506,2022,B
000506,2023,B
000507,2008,S
000507,2009,S
000507,2010,S
000507,2011,S
000507,2012,G
000507,2013,G
000507,2014,G
000507,2015,G
000507,2016,G
000507,2017,G
000507,2018,G
000507,2019,G
000507,2020,G
000507,2021,G
000507,2022,G
000507,2023,G
000509,2014,C29
000509,2015,C29
000509,2016,C29
000509,2017,C29
000509,2018,C29
000509,2022,Q
000509,2023,Q
000510,2008,C26
000510,2009,C26
000510,2010,C26
000510,2011,C26
000510,2012,C26
000510,2013,C26
000510,2014,C26
000510,2016,C26
000510,2017,C26
000510,2018,C26
000510,2019,C26
000510,2020,C26
000510,2021,C26
000510,2022,C26
000510,2023,C26
000511,2008,K
000511,2009,K
000511,2010,K
000511,2011,K
000511,2012,K
000511,2013,K
000511,2014,C32
000511,2015,C30
000513,2008,C27
000513,2009,C27
000513,2010,C27
000513,2011,C27
000513,2012,C27
000513,2013,C27
000513,2014,C27
000513,2015,C27
000513,2016,C27
000513,2017,C27
000513,2018,C27
000513,2019,C27
000513,2020,C27
000513,2021,C27
000513,2022,C27
000513,2023,C27
000514,2009,K
000514,2010,K
000514,2011,K
000514,2012,K
000514,2013,K
000514,2014,K
000514,2015,K
000514,2016,K
000514,2017,K
000514,2018,K
000514,2019,K
000514,2020,K
000514,2021,K
000514,2022,K
000514,2023,K
000515,2008,C26
000516,2008,F
000516,2009,F
000516,2010,F
000516,2011,F
000516,2012,F
000516,2013,F
000516,2014,F
000516,2015,F
000516,2016,F
000516,2017,F
000516,2018,Q
000516,2019,Q
000516,2020,Q
000516,2021,Q
000516,2022,Q
000516,2023,Q
000517,2010,K
000517,2011,K
000517,2012,K
000517,2013,K
000517,2014,K
000517,2015,K
000517,2016,K
000517,2017,K
000517,2018,K
000517,2019,K
000517,2020,K
000517,2021,K
000517,2022,K
000517,2023,K
000518,2008,C27
000518,2010,C27
000518,2011,C27
000518,2012,C27
000518,2013,C27
000518,2014,C27
000518,2015,C27
000518,2016,C27
000518,2017,C27
000518,2018,C27
000518,2019,C27
000518,2020,C27
000518,2021,C27
000518,2022,C27
000518,2023,C27
000519,2008,C34
000519,2009,C34
000519,2010,C34
000519,2011,C34
000519,2012,C34
000519,2013,C30
000519,2014,C30
000519,2015,C30
000519,2016,C30
000519,2017,C35
000519,2018,C35
000519,2019,C35
000519,2020,C35
000519,2021,C35
000519,2022,C35
000519,2023,C35
000520,2008,C25
000520,2009,C25
000520,2010,G
000520,2011,G
000520,2015,G
000520,2016,G
000520,2017,G
000520,2018,G
000520,2019,G
000520,2020,G
000520,2021,G
000520,2022,G
000520,2023,G
000521,2008,C38
000521,2009,C38
000521,2010,C38
000521,2011,C38
000521,2012,C38
000521,2013,C38
000521,2014,C38
000521,2015,C38
