year,month,epu,,
2024,3,242.8,,
2024,4,166.7,,
2024,5,206.3,,
2024,6,124.3,,
2024,7,278.6,,
2024,8,208.0,,
2024,9,223.7,,
2024,10,228.1,,
2024,11,233.8,,
2024,12,364.4,,
2025,1,256.9,,
2025,2,241.6,,
2025,3,426.8,,
2025,4,524.8,,
