year,month,gfcf
1999,12,1.732549054
2000,1,1.417567152
2000,2,1.296204309
2000,3,1.612354682
2000,4,1.497131034
2000,5,1.331447031
2000,6,1.334993728
2000,7,1.293981261
2000,8,1.498929511
2000,9,1.187947891
2000,10,1.130786713
2000,11,0.861860859
2000,12,1.110005507
2001,1,1.341697257
2001,2,1.030290499
2001,3,0.711429787
2001,4,1.040711086
2001,5,1.091182151
2001,6,0.938369412
2001,7,0.876444955
2001,8,0.714497455
2001,9,-0.102854062
2001,10,0.095577645
2001,11,0.539971539
2001,12,0.669466255
2002,1,0.673732675
2002,2,0.68561377
2002,3,0.939860153
2002,4,0.814708066
2002,5,0.794867811
2002,6,0.483832329
2002,7,0.004957816
2002,8,-0.054616689
2002,9,-0.561764459
2002,10,-0.364873063
2002,11,0.023366684
2002,12,-0.275127751
2003,1,-0.41723449
2003,2,-0.504359234
2003,3,-0.617814834
2003,4,-0.285343348
2003,5,0.030083838
2003,6,0.103441223
2003,7,0.338232879
2003,8,0.541688959
2003,9,0.440487203
2003,10,0.816425271
2003,11,0.865024829
2003,12,1.082716541
2004,1,1.114502532
2004,2,1.188271245
2004,3,1.19418421
2004,4,0.973109637
2004,5,1.028405195
2004,6,1.148994589
2004,7,0.990680143
2004,8,0.965050446
2004,9,1.147472199
2004,10,1.233513948
2004,11,1.486473739
2004,12,1.617122457
2005,1,1.427100784
2005,2,1.603471177
2005,3,1.438423299
2005,4,1.206878406
2005,5,1.331224818
2005,6,1.36386159
2005,7,1.586624722
2005,8,1.536500815
2005,9,1.614971649
2005,10,1.460352495
2005,11,1.699626785
2005,12,1.751248854
2006,1,1.999986601
2006,2,1.999255838
2006,3,2.116518299
2006,4,2.240678325
2006,5,1.98363496
2006,6,1.898366278
2006,7,1.774577876
2006,8,1.845781555
2006,9,1.901091196
2006,10,2.066269146
2006,11,2.179683851
2006,12,2.214714569
2007,1,2.289869578
2007,2,2.223685062
2007,3,2.240168908
2007,4,2.413636642
2007,5,2.59215791
2007,6,2.527377205
2007,7,2.415091389
2007,8,2.331655271
2007,9,2.485908255
2007,10,2.567335509
2007,11,2.150218942
2007,12,2.055460504
2008,1,1.701732504
2008,2,1.694168766
2008,3,1.597643123
2008,4,1.860240727
2008,5,1.924467534
2008,6,1.373482934
2008,7,1.26540341
2008,8,1.198424891
2008,9,0.425188527
2008,10,-1.070595046
2008,11,-1.734939322
2008,12,-1.669481698
2009,1,-2.275922477
2009,2,-2.918722153
2009,3,-2.418194736
2009,4,-1.409380236
2009,5,-1.068497185
2009,6,-1.170784072
2009,7,-0.662454806
2009,8,-0.425694173
2009,9,-0.238498544
2009,10,-0.379281084
2009,11,-0.221755303
2009,12,-0.055128771
2010,1,-0.308351101
2010,2,-0.205054611
2010,3,0.149882082
2010,4,0.295627632
2010,5,-0.229561149
2010,6,-0.55622226
2010,7,-0.132320252
2010,8,-0.455532704
2010,9,0.047350591
