stkcd,year,month
688169.SH,2020,2
688187.SH,2021,9
688223.SH,2022,1
688256.SH,2020,7
688271.SH,2022,8
688303.SH,2021,7
688396.SH,2020,2
688472.SH,2023,6
688506.SH,2023,1
688599.SH,2020,6
688981.SH,2020,7
